Federal subject,City
Sverdlovsk Oblast,Krasnoturyinsk
Sverdlovsk Oblast,Krasnoufimsk
Sverdlovsk Oblast,Krasnouralsk
Perm Krai,Krasnovishersk
Krasnoyarsk Krai,Krasnoyarsk
Saint Petersburg,Krasnoye Selo
Moscow Oblast,Krasnozavodsk
Kaliningrad Oblast,Krasnoznamensk
Moscow Oblast,Krasnoznamensk
Tver Oblast,Krasny Kholm
Saratov Oblast,Krasny Kut
Rostov Oblast,Krasny Sulin
Kaluga Oblast,Kremyonki
Saint Petersburg,Kronstadt
Krasnodar Krai,Kropotkin
Krasnodar Krai,Krymsk
Nizhny Novgorod Oblast,Kstovo
Moscow Oblast,Kubinka
Perm Krai,Kudymkar
Nizhny Novgorod Oblast,Kulebaki
Republic of Bashkortostan,Kumertau
Perm Krai,Kungur
Novosibirsk Oblast,Kupino
Kursk Oblast,Kurchatov
Kurgan Oblast,Kurgan
Krasnodar Krai,Kurganinsk
Sakhalin Oblast,Kurilsk
Vladimir Oblast,Kurlovo
Moscow Oblast,Kurovskoye
Kursk Oblast,Kursk
Kurgan Oblast,Kurtamysh
Chelyabinsk Oblast,Kusa
Sverdlovsk Oblast,Kushva
Orenburg Oblast,Kuvandyk
Tver Oblast,Kuvshinovo
Novosibirsk Oblast,Kuybyshev
Penza Oblast,Kuznetsk
Republic of Buryatia,Kyakhta
Chelyabinsk Oblast,Kyshtym
Tuva Republic,Kyzyl
Krasnodar Krai,Labinsk
Yamalo-Nenets Autonomous Okrug,Labytnangi
Kaliningrad Oblast,Ladushkin
Kalmykia,Lagan
Republic of Tatarstan,Laishevo
Karelia,Lakhdenpokhya
Vladimir Oblast,Lakinsk
Khanty-Mansi Autonomous Okrug,Langepas
Lipetsk Oblast,Lebedyan
Republic of Tatarstan,Leninogorsk
Volgograd Oblast,Leninsk
Kemerovo Oblast,Leninsk-Kuznetsky
Sakha Republic,Lensk
Stavropol Krai,Lermontov
Sverdlovsk Oblast,Lesnoy
Krasnoyarsk Krai,Lesosibirsk
Primorsky Krai,Lesozavodsk
Kursk Oblast,Lgov
Tver Oblast,Likhoslavl
Moscow Oblast,Likino-Dulyovo
Lipetsk Oblast,Lipetsk
Tula Oblast,Lipki
Voronezh Oblast,Liski
Oryol Oblast,Livny
Moscow Oblast,Lobnya
Leningrad Oblast,Lodeynoye Pole
Saint Petersburg,Lomonosov
Moscow Oblast,Losino-Petrovsky
Leningrad Oblast,Luga
Moscow Oblast,Lukhovitsy
Nizhny Novgorod Oblast,Lukoyanov
Kirov Oblast,Luza
Khanty-Mansi Autonomous Okrug,Lyantor
Nizhny Novgorod Oblast,Lyskovo
Perm Krai,Lysva
Moscow Oblast,Lytkarino
Leningrad Oblast,Lyuban
Moscow Oblast,Lyubertsy
Yaroslavl Oblast,Lyubim
Kaluga Oblast,Lyudinovo
Magadan Oblast,Magadan
Ingushetia,Magas
Chelyabinsk Oblast,Magnitogorsk
Sakhalin Oblast,Makarov
Kostroma Oblast,Makaryev
Dagestan,Makhachkala
Kurgan Oblast,Makushino
Novgorod Oblast,Malaya Vishera
Ingushetia,Malgobek
Kirov Oblast,Malmyzh
Oryol Oblast,Maloarkhangelsk
Kaluga Oblast,Maloyaroslavets
Republic of Tatarstan,Mamadysh
Kaliningrad Oblast,Mamonovo
Kostroma Oblast,Manturovo
Kemerovo Oblast,Mariinsk
Chuvash Republic,Mariinsky Posad
Saratov Oblast,Marks
Republic of Adygea,Maykop
Kabardino-Balkar Republic,Maysky
Orenburg Oblast,Mednogorsk
Karelia,Medvezhyegorsk
Kaluga Oblast,Medyn
Khanty-Mansi Autonomous Okrug,Megion
Vladimir Oblast,Melenki
Republic of Bashkortostan,Meleuz
Republic of Tatarstan,Mendeleyevsk
Republic of Tatarstan,Menzelinsk
Kaluga Oblast,Meshchovsk
Arkhangelsk Oblast,Mezen
Kemerovo Oblast,Mezhdurechensk
Republic of Bashkortostan,Mezhgorye
Bryansk Oblast,Mglin
Chelyabinsk Oblast,Miass
Tambov Oblast,Michurinsk
Ryazan Oblast,Mikhaylov
Volgograd Oblast,Mikhaylovka
Sverdlovsk Oblast,Mikhaylovsk
Stavropol Krai,Mikhaylovsk
Komi Republic,Mikun
Rostov Oblast,Millerovo
Stavropol Krai,Mineralnye Vody
Krasnoyarsk Krai,Minusinsk
Chelyabinsk Oblast,Minyar
Arkhangelsk Oblast,Mirny
Sakha Republic,Mirny
Zabaykalsky Krai,Mogocha
Murmansk Oblast,Monchegorsk
Rostov Oblast,Morozovsk
Tambov Oblast,Morshansk
Kaluga Oblast,Mosalsk
Moscow,Moskovsky
Moscow,Moscow
Republic of North Ossetia–Alania,Mozdok
Moscow Oblast,Mozhaysk
Udmurtia,Mozhga
Oryol Oblast,Mtsensk
Kirov Oblast,Murashi
Yamalo-Nenets Autonomous Okrug,Muravlenko
Leningrad Oblast,Murino
Murmansk Oblast,Murmansk
Vladimir Oblast,Murom
Yaroslavl Oblast,Myshkin
Kemerovo Oblast,Myski
Moscow Oblast,Mytishchi
Republic of Tatarstan,Naberezhnye Chelny
Yamalo-Nenets Autonomous Okrug,Nadym
Primorsky Krai,Nakhodka
Kabardino-Balkar Republic,Nalchik
Astrakhan Oblast,Narimanov
Moscow Oblast,Naro-Fominsk
Kabardino-Balkar Republic,Nartkala
Nenets Autonomous Okrug,Naryan-Mar
Chukotka Autonomous Okrug,Naukan
Nizhny Novgorod Oblast,Navashino
Ivanovo Oblast,Navoloki
Krasnoyarsk Krai,Nazarovo
Ingushetia,Nazran
Omsk Oblast,Nazyvayevsk
Samara Oblast,"Neftegorsk, Samara Oblast"
Republic of Bashkortostan,Neftekamsk
Stavropol Krai,Neftekumsk
Khanty-Mansi Autonomous Okrug,Nefteyugansk
Tver Oblast,Nelidovo
Kaliningrad Oblast,Neman
Zabaykalsky Krai,Nerchinsk
Kostroma Oblast,Nerekhta
Sakha Republic,Neryungri
Kaliningrad Oblast,Nesterov
Pskov Oblast,Nevel
Sakhalin Oblast,Nevelsk
Stavropol Krai,Nevinnomyssk
Sverdlovsk Oblast,Nevyansk
Kostroma Oblast,Neya
Volgograd Oblast,Nikolayevsk
Khabarovsk Krai,Nikolayevsk-on-Amur
Vologda Oblast,Nikolsk
Penza Oblast,Nikolsk
Leningrad Oblast,Nikolskoye
Republic of Tatarstan,Nizhnekamsk
Irkutsk Oblast,Nizhneudinsk
Khanty-Mansi Autonomous Okrug,Nizhnevartovsk
Sverdlovsk Oblast,Nizhniye Sergi
Penza Oblast,Nizhny Lomov
Nizhny Novgorod Oblast,Nizhny Novgorod
Sverdlovsk Oblast,Nizhny Tagil
Sverdlovsk Oblast,Nizhnyaya Salda
Sverdlovsk Oblast,Nizhnyaya Tura
Moscow Oblast,Noginsk
Kirov Oblast,Nolinsk
Krasnoyarsk Krai,Norilsk
Leningrad Oblast,Novaya Ladoga
Sverdlovsk Oblast,Novaya Lyalya
Stavropol Krai,Novoalexandrovsk
Altai Krai,Novoaltaysk
Volgograd Oblast,Novoanninsky
Chuvash Republic,Novocheboksarsk
Rostov Oblast,Novocherkassk
Arkhangelsk Oblast,Novodvinsk
Voronezh Oblast,Novokhopyorsk
Krasnodar Krai,Novokubansk
Samara Oblast,Novokuybyshevsk
Kemerovo Oblast,Novokuznetsk
Ryazan Oblast,Novomichurinsk
Tula Oblast,Novomoskovsk
Stavropol Krai,Novopavlovsk
Krasnodar Krai,Novorossiysk
Pskov Oblast,Novorzhev
Rostov Oblast,Novoshakhtinsk
Novosibirsk Oblast,Novosibirsk
Oryol Oblast,Novosil
Pskov Oblast,Novosokolniki
Orenburg Oblast,Novotroitsk
Ulyanovsk Oblast,Novoulyanovsk
Sverdlovsk Oblast,Novouralsk
Saratov Oblast,Novouzensk
Voronezh Oblast,Novovoronezh
Bryansk Oblast,Novozybkov
Belgorod Oblast,Novy Oskol
Yamalo-Nenets Autonomous Okrug,Novy Urengoy
Yamalo-Nenets Autonomous Okrug,Noyabrsk
Republic of Tatarstan,Nurlat
Khanty-Mansi Autonomous Okrug,Nyagan
Arkhangelsk Oblast,Nyandoma
Chelyabinsk Oblast,Nyazepetrovsk
Perm Krai,Nytva
Sakha Republic,Nyurba
Novosibirsk Oblast,Ob
Jewish Autonomous Oblast,Obluchye
Kaluga Oblast,Obninsk
Kursk Oblast,Oboyan
Perm Krai,Ochyor
Moscow Oblast,Odintsovo
Sakhalin Oblast,Okha
Perm Krai,Okhansk
Samara Oblast,Oktyabrsk
Republic of Bashkortostan,Oktyabrsky
Novgorod Oblast,Okulovka
Murmansk Oblast,Olenegorsk
Karelia,Olonets
Sakha Republic,Olyokminsk
Omsk Oblast,Omsk
Kirov Oblast,Omutninsk
Arkhangelsk Oblast,Onega
Pskov Oblast,Opochka
Moscow Oblast,Orekhovo-Zuyevo
Oryol Oblast,Oryol
Orenburg Oblast,Orenburg
Kirov Oblast,Orlov
Orenburg Oblast,Orsk
Perm Krai,Osa
Kemerovo Oblast,Osinniki
Tver Oblast,Ostashkov
Voronezh Oblast,Ostrogozhsk
Pskov Oblast,Ostrov
Murmansk Oblast,Ostrovnoy
Leningrad Oblast,Otradnoye
Samara Oblast,Otradny
Kaliningrad Oblast,Ozyorsk
Chelyabinsk Oblast,Ozyorsk
Moscow Oblast,Ozherelye
Moscow Oblast,Ozyory
Volgograd Oblast,Pallasovka
Primorsky Krai,Partizansk
Nizhny Novgorod Oblast,Pavlovo
Voronezh Oblast,Pavlovsk
Saint Petersburg,Pavlovsk
Moscow Oblast,Pavlovsky Posad
Komi Republic,Pechora
Pskov Oblast,Pechory
Penza Oblast,Penza
Yaroslavl Oblast,Pereslavl-Zalessky
Moscow Oblast,Peresvet
Nizhny Novgorod Oblast,Perevoz
Perm Krai,Perm
Nizhny Novgorod Oblast,Pervomaysk
Sverdlovsk Oblast,Pervouralsk
Novgorod Oblast,Pestovo
Saint Petersburg,Petergof
Kamchatka Krai,Petropavlovsk-Kamchatsky
Volgograd Oblast,Petrov Val
Saratov Oblast,Petrovsk
Zabaykalsky Krai,Petrovsk-Zabaykalsky
Karelia,Petrozavodsk
Kurgan Oblast,Petukhovo
Vladimir Oblast,Petushki
Chukotka Autonomous Okrug,Pevek
Leningrad Oblast,Pikalyovo
Kaliningrad Oblast,Pionersky
Karelia,Pitkyaranta
Chelyabinsk Oblast,Plast
Tula Oblast,Plavsk
Ivanovo Oblast,Plyos
Bryansk Oblast,Pochep
Smolensk Oblast,Pochinok
Moscow Oblast,Podolsk
Leningrad Oblast,Podporozhye
Khanty-Mansi Autonomous Okrug,Pokachi
Samara Oblast,Pokhvistnevo
Vladimir Oblast,Pokrov
Sakha Republic,Pokrovsk
Kaliningrad Oblast,Polessk
Sverdlovsk Oblast,Polevskoy
Murmansk Oblast,Polyarny
Murmansk Oblast,Polyarnye Zori
Kemerovo Oblast,Polysayevo
Pskov Oblast,Porkhov
Sakhalin Oblast,Poronaysk
Yaroslavl Oblast,Poshekhonye
Voronezh Oblast,Povorino
Kaliningrad Oblast,Pravdinsk
Leningrad Oblast,Primorsk
Krasnodar Krai,Primorsko-Akhtarsk
Leningrad Oblast,Priozersk
Ivanovo Oblast,Privolzhsk
Kabardino-Balkar Republic,Prokhladny
Kemerovo Oblast,Prokopyevsk
Rostov Oblast,Proletarsk
Moscow Oblast,Protvino
Pskov Oblast,Pskov
Ivanovo Oblast,Puchezh
Karelia,Pudozh
Saratov Oblast,Pugachyov
Moscow Oblast,Pushchino
Saint Petersburg,Pushkin
Moscow Oblast,Pushkino
Pskov Oblast,Pustoshka
Stavropol Krai,Pyatigorsk
Pskov Oblast,Pytalovo
Khanty-Mansi Autonomous Okrug,Pyt-Yakh
Vladimir Oblast,Raduzhny
Khanty-Mansi Autonomous Okrug,Raduzhny
Moscow Oblast,Ramenskoye
Tambov Oblast,Rasskazovo
Amur Oblast,Raychikhinsk
Moscow Oblast,Reutov
Sverdlovsk Oblast,Revda
Sverdlovsk Oblast,Rezh
Ivanovo Oblast,Rodniki
Moscow Oblast,Roshal
Smolensk Oblast,Roslavl
Voronezh Oblast,Rossosh
Yaroslavl Oblast,Rostov
Rostov Oblast,Rostov-on-Don
Saratov Oblast,Rtishchevo
Altai Krai,Rubtsovsk
Smolensk Oblast,Rudnya
Moscow Oblast,Ruza
Republic of Mordovia,Ruzayevka
Ryazan Oblast,Ryazan
Ryazan Oblast,Ryazhsk
Yaroslavl Oblast,Rybinsk
Ryazan Oblast,Rybnoye
Kursk Oblast,Rylsk
Tver Oblast,Rzhev
Smolensk Oblast,Safonovo
Saint Petersburg,Saint Petersburg
Kemerovo Oblast,Salair
Republic of Bashkortostan,Salavat
Yamalo-Nenets Autonomous Okrug,Salekhard
Rostov Oblast,Salsk
Samara Oblast,Samara
Republic of Mordovia,Saransk
Udmurtia,Sarapul
Saratov Oblast,Saratov
Nizhny Novgorod Oblast,Sarov
Ryazan Oblast,Sasovo
Chelyabinsk Oblast,Satka
Republic of Khakassia,Sayanogorsk
Irkutsk Oblast,Sayansk
Pskov Oblast,Sebezh
Karelia,Segezha
Bryansk Oblast,Seltso
Rostov Oblast,Semikarakorsk
Voronezh Oblast,Semiluki
Nizhny Novgorod Oblast,Semyonov
Ulyanovsk Oblast,Sengiley
Volgograd Oblast,Serafimovich
Penza Oblast,Serdobsk
Nizhny Novgorod Oblast,Sergach
Moscow Oblast,Sergiyev Posad
Sverdlovsk Oblast,Serov
Moscow Oblast,Serpukhov
Leningrad Oblast,Sertolovo
Saint Petersburg,Sestroretsk
Republic of Buryatia,Severobaykalsk
Arkhangelsk Oblast,Severodvinsk
Sakhalin Oblast,Severo-Kurilsk
Murmansk Oblast,Severomorsk
Sverdlovsk Oblast,Severouralsk
Tomsk Oblast,Seversk
Bryansk Oblast,Sevsk
Kurgan Oblast,Shadrinsk
Tuva Republic,Shagonar
Sakhalin Oblast,Shakhtyorsk
Rostov Oblast,Shakhty
Nizhny Novgorod Oblast,Shakhunya
Chechen Republic,Shali
Kostroma Oblast,Sharya
Krasnoyarsk Krai,Sharypovo
Ryazan Oblast,Shatsk
Moscow Oblast,Shatura
Moscow Oblast,Shcherbinka
Kursk Oblast,Shchigry
